# textdomain: lottarmor
Training Chestplate=
Training Boots=
Silver Boots=
Silver Shield=
Mithril Boots=
Tin Leggings=
Bags=
Galvorn Leggings=
Copper Leggings=
Gold Shield=
Back=
Tin Boots=
Galvorn Chestplate=
Mithril Helmet=
Bronze Chestplate=
Silver Leggings=
Steel Helmet=
Silver Helmet=
Training Shield=
Copper Shield=
Bronze Boots=
Bronze Leggings=
Gold Leggings=
Gold Helmet=
Tin Helmet=
Main=
Mithril Shield=
Copper Boots=
Steel Chestplate=
Steel Boots=
Gold Boots=
Bronze Shield=
Steel Shield=
Galvorn Shield=
Tin Shield=
got destroyed!=
Bag=
Training Helmet=
Tin Chestplate=
Gold Chestplate=
Galvorn Boots=
Mithril Leggings=
Steel Leggings=
Training Leggings=
Mithril Chestplate=
Copper Chestplate=
Bronze Helmet=
Silver Chestplate=
Copper Helmet=
Galvorn Helmet=

