# textdomain: tools
Galvorn Pickaxe=
Gold Spear=
Bronze Pickaxe=
Wooden Axe=
Training Warhammer=
Galvorn Spear=
Bronze Sword=
Training Battleaxe=
Copper Shovel=
Galvorn Dagger=
Steel Shovel=
Copper Dagger=
Silver Dagger=
Galvorn Shovel=
Bronze Dagger=
Silver Axe=
Mithril Pickaxe=
Mithril Warhammer=
Galvorn Axe=
Stone Battleaxe=
Tin Warhammer=
Stone Pickaxe=
Stone Shovel=
Tin Spear=
Tin Axe=
Silver Battleaxe=
Elven Sword=
Wooden Shovel=
Gold Battleaxe=
Stone Dagger=
Steel Spear=
Orcish Sword=
Gold Sword=
Mithril Axe=
Bronze Warhammer=
Tin Pickaxe=
Steel Axe=
Gold Axe=
Mithril Battleaxe=
Steel Battleaxe=
Copper Battleaxe=
Tin Shovel=
Copper Pickaxe=
Gold Dagger=
Bronze Axe=
Tin Sword=
Bronze Shovel=
Training Spear=
Silver Sword=
Silver Pickaxe=
Gold Warhammer=
Wooden Sword=
Galvorn Battleaxe=
Gold Shovel=
Galvorn Warhammer=
Training Dagger=
Silver Spear=
Mithril Spear=
Silver Shovel=
Stone Warhammer=
Bronze Battleaxe=
Steel Warhammer=
Steel Sword=
Bronze Spear=
Stone Spear=
Steel Pickaxe=
Stone Sword=
Copper Axe=
Mithril Shovel=
Mithril Dagger=
Galvorn Sword=
Gold Pickaxe=
Steel Dagger=
Copper Spear=
Silver Warhammer=
Copper Sword=
Mithril Sword=
Wooden Pickaxe=
Copper Warhammer=
Tin Battleaxe=
Tin Dagger=
Stone Axe=

